video_id,gt,pred_lcrm_lite_fused
,2023年12月8日星期五上午8时50分至8时51分，外环高速吴中路路段出现交通拥堵事件。该路段为双向多车道高速公路，监控画面显示车辆在多个车道内行驶缓慢，车流密集且持续时间较长，部分车辆间距明显缩小，整体通行速度显著下降。涉事车辆包括大量私家车、货车、客车及特种运输车辆，其中一辆大型汽车运输车（载有多辆轿车）和一辆红色平板拖车在右侧车道行驶，对后方车流形成一定阻碍。此外，道路两侧未见施工设施或异常停车情况，也无明显事故迹象，但车流密度高导致通行效率降低，车辆排队长度超过正常范围，影响了正常交通秩序。该拥堵现象符合“拥堵”判断标准中的多项特征：多辆车缓慢移动、排队车辆长度超常、持续一段时间且无缓解趋势，发生在城市主干道的瓶颈区域。,2023年12月8日星期五上午8时50分至8时51分，外环高速吴中路路段出现交通拥堵事件。该路段为双向多车道高速公路，车流密集，主要由轿车、货车及少量客车组成，其中包含一辆黄色工程车和一辆红色平板拖车。视频显示，车辆在多个车道内缓慢行驶，车
,2023年10月16日中午12时28分至12时29分，位于城市高架道路主线与匝道交汇处发生交通拥堵事件。该路段为多车道高架桥，车流密集，主路双向及右侧匝道均出现车辆缓慢行驶或停滞现象。涉事车辆包括多辆轿车、货车、出租车及厢式货车，其中一辆白色SUV在主路靠近中央护栏处临时停靠，驾驶员下车后在车旁停留，疑似检查车辆状况，导致后方车辆被迫减速避让，引发连锁拥堵。同时，右侧匝道因汇入车流与主路车流交织，通行效率降低，形成持续性缓行。整个拥堵区域长度超过500米，持续时间超过1分钟，且无明显事故迹象，但车辆间距显著缩小，行驶速度普遍低于20公里/小时，符合拥堵判断标准中“多辆车缓慢移动或完全停止”“排队车辆长度超过正常范围”“发生在路口、匝道等瓶颈区域”的特征，属于典型交通拥堵事件。,2023年10月16日12时29分至12时30分，位于城市高架桥路段的主干道上发生严重交通拥堵事件。该路段为双向多车道高架道路，右侧方向车流密集，车辆行驶缓慢，部分车辆处于停滞状态，形成长达数百米的排队现象，且无明显缓解趋势。涉事车辆包括各
,2023年9月22日14时11分至14时12分，外环高速沪太立交东1-1 03路段出现交通拥堵事件。该路段为多车道高速公路，路面湿滑，天气阴雨，车辆行驶缓慢。画面中可见大量机动车包括轿车、货车、厢式货车在多个车道内密集行驶，车距明显缩短，车流速度显著下降，部分车辆几乎处于停滞状态。涉事车辆主要为各类货运车辆和私家车，其中红色集装箱货车、白色厢式货车及黑色轿车较为突出。由于车流量大且道路条件不佳，导致车辆通行效率降低，后方车辆被迫减速或变道，形成持续性拥堵。未见明显事故、异常停车或施工迹象，但整体交通流呈现拥堵特征，符合“拥堵”判断标准中的多辆车缓慢移动、排队长度较长且无缓解趋势等情形。,2023年9月22日14时11分至14时12分，外环高速沪太立交东1-1 03路段出现交通拥堵事件。该路段为双向多车道高速公路，路面湿滑，天气阴雨，能见度较低。视频显示，自14:11:45起，右侧车道车辆行驶缓慢，车流密集，多辆货车与轿车在
,2024年5月10日18时25分至18时26分，外环高速京沪立交南侧路段出现异常停车事件。一辆红色货车停靠在最右侧车道上，车辆开启双闪灯，驾驶员不在车内，车辆处于完全静止状态。该行为导致后方车辆被迫减速绕行，影响了行车道正常通行秩序。现场未见施工设施或事故痕迹，也无其他车辆发生碰撞，该车长时间静止在非停车区域，构成交通安全隐患。,2024年5月10日18时25分至18时26分，外环高速京沪立交南侧路段出现交通拥堵事件。该路段为多车道高速公路，双向车流密集，左侧方向车辆行驶缓慢，形成明显排队现象，车辆间距缩小，车速降低，部分车辆处于低速蠕动状态，持续时间超过一分钟且无
,2024年3月14日12时41分至12时45分，外环高速京沪立交（内）路段出现严重交通拥堵，主要集中在左侧车道，车辆排成长队缓慢移动或完全停滞，涉事车辆包括大量货车、厢式货车及轿车，部分大型货车如运输汽车的平板车和集装箱车在拥堵中缓慢前行。右侧车道虽有车辆正常行驶，但受左侧拥堵影响整体通行效率下降，后方车辆被迫减速并排队等候，形成持续性拥堵现象。该区域无明显事故或施工迹象，但因车流量大且车辆密集，导致通行能力显著降低，属于典型高峰时段拥堵事件，影响范围覆盖多个车道，未见异常停车、占道施工、二轮闯入、多车事故或抛洒物等其他异常行为。,2024年3月14日14时44分至14时45分，外环高速京沪立交（内）路段出现严重交通拥堵事件。该路段为多车道高速公路，双向车流密集，左侧车道车辆排成长队，行驶缓慢，部分车辆处于停滞状态，后方车辆持续减速并排成队列，形成明显拥堵态势。涉事车
,2024年5月8日12时46分48秒至12时47分46秒，外环高速莘庄立交东（外）路段，一辆红色货车在最左侧车道完全静止，车辆开启双闪灯，驾驶员站在车旁，车辆位置处于非停车区域，导致后方车辆被迫减速绕行，形成短暂拥堵，该行为符合异常停车特征。,2024年5月8日12时46分至12时47分，外环高速莘庄立交东（外）路段出现交通拥堵事件。该路段为多车道高速公路，车流密集，主要由货车和轿车组成，其中红色、蓝色、黄色等货车占据主要通行位置。视频显示，车辆在多个车道上缓慢行驶，部分车辆间歇
,2023年9月26日19时01分至19时02分，嘉闵西侧汇聚机箱监控区域出现拥堵交通事件。事发地点位于城市高架道路的汇入路段，限速40公里/小时。视频显示，该车道内多辆机动车（包括轿车、面包车等）在短时间内持续缓慢行驶或完全停止，车辆排队长度明显超过正常范围，且后方车辆密集，刹车灯连成一片，表明通行效率显著下降。车辆在接近摄像头位置处逐渐减速并形成队列，随后部分车辆开始缓慢前移，但整体通行速度极低，未见明显事故或障碍物导致的直接原因，推测为上游路段车流集中汇入引发的临时性拥堵。该拥堵影响了该方向车道的正常通行秩序，造成通行延误，符合拥堵判断标准中的“多辆车缓慢移动或完全停止”、“排队车辆长度超过正常范围”及“发生在路口、匝道等瓶颈区域”等特征。,2023年9月26日19时01分至19时02分，嘉闵西侧汇聚机箱路段出现交通拥堵事件。该路段为高架道路，夜间照明条件下，多车道车辆密集行驶，车流缓慢移动，车辆尾灯连成一片红色光带，表明车辆处于低速或停滞状态。涉事车辆包括轿车、货车及小型客车
,2024年6月13日19时10分15秒左右，在G2进外环外圈匝道03路段，一辆白色面包车在左侧第二车道内静止停靠，车辆未开启双闪灯，导致后方车辆绕行，该事件符合异常停车的判断标准。,2024年6月13日19时10分至19时11分，G2进外环外圈匝道03路段出现交通拥堵事件。该路段为城市快速路，双向多车道，夜间路面湿滑，车辆行驶缓慢。视频显示，从19:10:15开始，道路车流量较大，多辆轿车、货车及厢式运输车在车道内依次
,2023年7月15日12时09分45秒左右，在外环高速武威路南（内）路段，一辆二轮摩托车从画面左侧车道驶入主路，进入机动车道行驶，该区域为高速公路，禁止非机动车通行。涉事车辆为黑色二轮摩托车，驾驶员佩戴头盔，且在车流密集的多车道高速公路上穿行，存在横穿车道等危险行为，周围车辆纷纷避让，造成短暂交通干扰，存在严重安全隐患。该行为违反了高速公路禁止二轮车辆通行的规定，属于典型的二轮车辆闯入交通异常事件。,2023年7月21日12时09分至12时10分，外环高速武威路南（内）路段出现交通拥堵事件。该路段为多车道高速公路，车流密集，车辆包括轿车、货车、客车及大型运输车辆等，其中以红色和黄色货车较为显著。视频显示，车辆在多个车道上缓慢行驶，部分车
,2023年7月21日00时07分18秒，在外环高速莘庄立交北段，一辆二轮车辆闯入主路行车道，行驶方向与机动车流同向，见其佩戴头盔、悬挂牌照，且在车流密集区域穿行。该二轮车辆在多辆轿车和货车之间穿插行驶，存在较大安全隐患。现场无专用非机动车道，也无禁止二轮车通行的明确标识，但根据高速公路管理规定，此类车辆本不应进入该路段，属于典型闯入行为。,2023年7月21日00:07:15至00:07:45期间，外环高速莘庄立交北段发生一起多车事故。事故发生在夜间，道路照明良好，路面湿滑。涉事车辆包括一辆白色厢式货车、一辆黑色轿车，其中白色厢式货车在中间车道停车双闪，右侧车道黑色车辆与后方
,2024年5月28日17时07分至17时08分，外环高速莘庄立交北段发生一起多车事故。事故发生在该路段的主车道上，涉事车辆包括一辆绿色货车和一辆银色SUV，其中俩车疑似发生追尾事故，俩车停车姿态倾斜。事故现场有多辆车紧急减速或绕行，造成后方车辆排队缓行，交通流明显受阻。从视频画面看，未见明显人员下车交涉或交警到场，但事故区域存在明显的碰撞痕迹和车辆变形情况，符合多车事故特征。,多车事故
,2024年5月8日23时15分至23时16分，外环高速潭宝路北段监控画面显示，一辆红色货车在最右侧车道内长时间停靠，车辆开启双闪灯，驾驶员下车查看，周围其他车辆被迫绕行或减速避让，未见明显施工标志或警示设施，亦无交通信号灯允许停车，其行为不符合临时停车规则，导致后方车辆行驶受阻，存在安全隐患。该异常停车行为持续约半分钟，期间多辆小客车和货车从其左侧车道绕行通过，造成局部交通流扰动。,2024年5月8日23时15分至23时16分，在外环高速蕴藻浜桥北2（外）路段，发生了一起多车事故。涉事车辆包括一辆黑色轿车和一辆白色SUV，两车在行驶过程中发生碰撞，导致车辆位置异常，斜停在左侧道路。事故发生后，有人员下车进行交涉，现场秩
,2024年2月27日早上7时10分至7时11分，嘉闵西侧定焦03监控点位显示，隧道内双向车道出现严重拥堵现象。多辆小轿车、出租车、面包车及大型客车在隧道内缓慢行驶或处于停滞状态，车辆间距极小，刹车灯持续亮起，表明交通流处于低速或停止状态。车辆在多个车道间频繁变道，但整体通行速度极慢，部分车辆在尝试超车时导致后方车辆进一步积压。该路段位于封闭式高架隧道，两侧设有隔音墙，无施工迹象，也未见抛洒物或事故车辆碰撞痕迹，但因车流量大且集中，形成典型早高峰时段的拥堵特征，影响了正常通行效率，属于典型的交通拥堵事件。,2024年2月27日07:10至07:11，嘉闵西侧定焦03路段发生拥堵事件，该路段为隧道内多车道结构，两侧设有隔音墙。视频显示，大量车辆在隧道内缓慢行驶或完全停止，车流密集且持续时间较长，车辆间距明显缩小，尾灯持续亮起，表明交通流处于低速
,2023年9月6日17时59分至18时00分，外环高速北翟路立交桥北侧路段出现持续性交通拥堵。该路段为多车道高架道路，车流密集，车辆以缓慢速度行驶，部分车辆在车道内频繁变道，通行效率显著降低。涉事车辆包括各类小型轿车、货车、厢式货车及工程车辆，如黄色吊车、红色平板拖车和载有白色编织袋货物的蓝色货车等。车辆在接近画面远端时逐渐减速并排成长队，形成明显的排队现象，且无明显事故或障碍物导致堵塞，推测为高峰时段车流量过大所致。影响范围覆盖多个车道，导致后方车辆被迫减速或绕行，整体交通流呈现缓行状态，符合拥堵判断标准中“多辆车缓慢移动或完全停止”、“排队车辆长度超过正常范围”以及“发生在路口、匝道等瓶颈区域”的特征。异常特征表现为长时间、大范围的车流滞缓，未见突发事故或施工干扰，属典型高峰时段交通拥堵事件。,2023年9月6日16时58分至16时59分，外环高速北翟路立交桥东侧路段出现交通拥堵事件。该路段为多车道高速公路，车流密集，主要由轿车、SUV、货车及大型运输车辆组成，包括白色厢式货车、红色平板货车、黄色工程车及多辆私家车。车辆在多个车道
,2024年5月9日星期四早上7点54分34秒左右，在外环高速沪渝立交路段，一辆红色轿车停靠在最右侧车道靠近护栏处，车辆处于完全静止状态，驾驶员下车并站在车旁，开启双闪灯。该行为持续约30秒以上，期间后方车辆被迫减速绕行，影响了右侧行车道的正常通行秩序。由于该区域为高速公路行车道，非停车区域且无允许临时停车的标志，此行为构成异常停车，存在安全隐患。,2024年5月9日星期四早上7点54分至7点55分，外环高速沪渝立交路段出现交通拥堵事件。该路段为多车道高速公路，双向车流密集，左侧车道车辆行驶缓慢，形成明显排队现象，车辆间距缩小，车速降低，部分车辆处于低速蠕行状态，持续时间超过一分钟且无
,2023年10月8日星期日下午17时32分至17时33分，外环高速仙霞路南方向出现严重交通拥堵事件。该路段为多车道城市快速路，双向车流密集，其中南向车道车辆行驶缓慢，车距明显缩短，大量车辆尾灯亮起，表明车速极低或处于停滞状态。涉事车辆包括轿车、货车、客车等多种类型，其中以私家车和厢式货车为主，部分大型集装箱货车及公交车也参与其中。车辆在多个车道内排成长队，持续时间约一分钟且无缓解趋势，符合拥堵判断标准中“多辆车缓慢移动或完全停止”“排队车辆长度超过正常范围”以及“发生在路口、匝道等瓶颈区域”的特征。由于车流密度极高，后方车辆被迫减速并频繁变道，影响了整体通行效率。现场未见异常停车、施工设施、二轮闯入或抛洒物等情况，亦无明显事故迹象，推测为高峰时段常态化交通压力所致。,2023年10月8日17时32分至17时33分，外环高速仙霞路南段出现严重交通拥堵事件。该路段为多车道高速公路，双向车流密集，其中南向车道车辆行驶缓慢，车距明显缩短，多数车辆刹车灯持续亮起，表明车速极低或处于停滞状态。涉事车辆包括大量轿车、
,2023年11月5日09:23至09:24期间，外环高速吴中路路段出现交通拥堵事件。画面显示该路段多车道车辆行驶缓慢，车流密集，车辆间距明显缩小，部分车辆处于低速移动或短暂停滞状态，持续时间约1分钟且无缓解趋势。涉事车辆包括多辆轿车、货车、厢式货车及大型运输车，如红色集装箱卡车、白色厢式货车、黄色工程车和银色油罐车等，均在正常车道内行驶但受整体车流影响通行效率下降。未见异常停车、占道施工、事故或抛洒物等情况，也无二轮车辆闯入。拥堵主要发生在道路右侧多个车道，导致后方车辆被迫减速并排成队列，形成典型的高峰时段交通拥堵特征，影响了该路段的通行能力。,2023年11月5日09时23分至09时24分，位于城市高架道路南向车道发生一起多车事故。涉事车辆包括一辆白色轿车及左后方黑色轿车。视频显示，白色轿车与前方黑色轿车发生追尾碰撞，导致车辆位置异常，横跨部分车道，造成后方交通流拥堵。事故现场无
,2024年6月14日13时00分，外环高速沪太立交东2枪机2监控画面显示，双向车道内车辆正常行驶，一辆黑色小汽车停靠在右侧应急车道内，车辆开启双闪灯，且长时间静止不动，车辆无明显故障迹象，此行为符合异常停车判断标准。,多车事故
,2024年6月21日星期五上午8时56分至8时57分，外环高速沪渝立交段出现异常停车事件。在该时段内，一辆黑色轿车在行车道上完全静止，开启双闪灯，且无明显故障迹象，车辆处于非停车区域，导致后方多辆汽车被迫减速绕行。该行为违反了高速公路禁止随意停车的规定，存在较大安全隐患，影响了道路通行效率，属于异常停车。,2024年6月21日星期五上午8时56分至8时57分，外环高速沪渝立交段出现交通拥堵事件。该路段为多车道高速公路，天气阴雨，路面湿滑，能见度较低。视频显示，从8:56:09开始，道路左侧车道车辆行驶缓慢，车流密集，多辆轿车、货车及厢式运输车
,2024年1月11日12时26分至12时27分，在外环高速武威路南（内）路段，发生了一起拥堵交通事件。视频显示，该路段车辆密集，多辆车缓慢移动或完全停止，排队车辆长度超过正常范围，且持续一段时间无缓解趋势。涉事车辆包括多辆货车和轿车，它们在车道上缓慢前行或停滞不前，导致交通流明显受阻。此次拥堵发生在高速公路的瓶颈区域，影响了过往车辆的正常通行，异常特征表现为车辆行驶速度显著降低，车道内车辆密度增大，整体交通秩序受到影响。,2023年12月27日10时22分至10时23分，外环高速武威路南（内）路段出现严重交通拥堵事件。该路段为多车道高速公路，双向车流密集，其中南向车道车辆排成长队，行驶缓慢，部分车辆处于停滞状态，后方车辆持续减速并频繁变道以适应前方车流。涉事
,2024年6月22日08时27分至08时28分，武宁路地道北线东向西方向发生一起多车事故。事发地点位于隧道内靠近出口处的行车道区域，涉事车辆包括多辆轿车及一辆白色厢式货车，其中一辆灰色SUV在中间车道行驶过程中突然减速并亮起刹车灯，后方多辆车因避让不及相继追尾，导致车辆排成一列缓慢前行或短暂停滞。现场可见多辆车尾部碰撞痕迹明显，部分车辆位置异常，如白色特斯拉轿车从右侧车道变道至左侧车道时与前方车辆距离过近，发生刮擦，引发连锁反应。事故造成该路段交通流受阻，车辆行驶速度显著下降，后方车辆纷纷减速避让，形成短暂拥堵。整个事件中未见人员下车交涉或交警到场处理，但车辆密集且刹车灯持续亮起，显示出明显的交通事故特征。,2024年8月22日06时27分23秒至06时28分30秒，在武宁路4期北方向的主车道上发生一起多车事故。事故发生在隧道内靠近出口匝道区域，涉事车辆包括一辆白色面包车和其后方两辆小轿车，具体为一辆白色轿车（车牌号沪D****68）与前方白色
,2023年12月16日星期一08:51:27至08:51:42期间，在一条多车道高速公路的右侧车道区域发生拥堵事件，地点位于道路右侧靠近中央隔离带的多个车道，该路段为双向通行高速公路，右侧方向车流密集。涉事车辆包括多辆小型轿车、SUV及货车，其中以白色、黑色和银色车辆为主，部分车辆在行驶过程中出现缓慢移动或停止现象，尤其在右侧最外侧车道形成明显排队现象，车辆间距显著缩小，车速明显下降，后方车辆持续汇入导致拥堵加剧。行为表现为车辆在无事故或施工情况下持续低速行驶，未见紧急刹车或避让动作，但整体通行效率降低，影响了正常交通流。异常特征为右侧车道车流密度远高于左侧车道，且持续时间超过15秒，符合拥堵判断标准中的“多辆车缓慢移动或完全停止”“排队车辆长度超过正常范围”“持续一段时间且无缓解趋势”等条件，表明该路段存在临时性交通拥堵，可能由前方车流汇聚或出口分流导致。,2023年12月12日星期一上午9时51分，位于城市高架道路的某路段（具体位置未指定）发生拥堵事件。该路段为多车道双向高架桥，路面为黑色沥青，两侧设有护栏和导流线。视频显示，从画面左侧开始，大量车辆在该路段缓慢行驶或完全停止，车流密度显著增
,2024年1月6日18:18至18:54，在外环高速莘庄立交东（外）路段，发生了严重的交通拥堵事件。视频显示，大量车辆在该路段缓慢移动或完全停止，排队车辆长度超过正常范围，且持续一段时间内无明显缓解趋势。涉事车辆包括多辆轿车、货车和客车，它们在车道上缓慢前行或停滞不前，导致整体交通流速显著下降。此次拥堵发生在路口区域，进一步加剧了通行压力。异常特征表现为车流密度极高，车辆尾灯和前灯亮起，形成明显的光带效应，反映出交通流量远超道路承载能力，对过往车辆的正常行驶造成了严重影响。,2024年1月6日18时18分至18时58分，外环高速莘庄立交东（外）路段出现严重交通拥堵事件。该路段为夜间双向多车道高速公路，车流密集，车辆以缓慢速度行驶，尾灯连成一片，表明通行能力显著下降。涉事车辆包括大量轿车、货车及客车，均处于低速或
,2024年3月5日星期二早上6点35分至6点36分，位于城市高架道路的某段主干道发生严重交通拥堵事件。该路段为多车道双向高架公路，天气阴雨，路面湿滑，能见度较低。视频显示，主路多个车道内车辆密集排队，车距极短，刹车灯持续亮起，车辆缓慢前行或基本停滞，形成长达数百米的拥堵队列。车辆包括轿车、SUV、货车及公交车等多种类型，右侧匝道车辆亦受影响，通行速度明显下降。由于雨天和早高峰叠加，导致车流密度急剧上升，车辆行驶缓慢且频繁变道，部分车辆试图从左侧应急车道超车，但未造成事故。整体影响表现为通行效率大幅降低，驾驶员需长时间等待，存在潜在安全隐患。异常特征主要体现在车流连续性中断、车速显著低于正常水平、以及大量车辆尾灯亮起形成的“红光带”现象，符合典型拥堵事件特征。,2024年3月5日星期二早上6点35分至6点36分，在某城市高架道路南向车道上发生了一起多车事故。涉事车辆包括一辆白色轿车和一辆灰色SUV，它们在行驶过程中发生碰撞，导致车辆位置异常，两辆车辆斜停于车道内。事故现场有人员下车交涉，其他车辆被
,2023年7月18日17时21分05秒左右，在外环高速老沪闵路东（内）路段，一辆二轮车从右侧道路边缘进入主车道，驾驶人佩戴头盔，行驶过程中横穿多条车道，与正常行驶的车辆形成交叉冲突。该二轮车未在专用非机动车道或辅道行驶，存在逆行及随意变道行为，对周边车辆造成潜在碰撞风险，导致部分车辆紧急避让，影响了主线交通流的稳定性。该行为属于典型的二轮车辆闯入高速公路禁行区域的异常事件，违反了交通法规，具有较高的安全隐患。,2023年7月16日13时17分至13时18分，外环高速老沪闵路东（内）路段出现严重交通拥堵，该路段为城市高架道路，双向多车道，右侧车道车辆行驶缓慢，车流密集，车辆间距明显缩小，部分车辆处于低速移动或短暂停滞状态，持续时间约1分钟且无缓解趋
,2023年8月14日7时41分至7时42分，外环高速莘庄立交东南方向出现交通拥堵事件。视频显示，多辆汽车在该路段缓慢行驶或处于停滞状态，车辆排成长队，车流密度明显增加，持续时间约一分钟且无缓解趋势。涉事车辆包括白色、蓝色、黑色、红色等多种颜色的轿车、SUV及一辆大型公交车和一辆中型客车，均在正常车道内行驶，未见异常停车、事故或施工迹象。道路两侧有绿化带，路面标线清晰，未发现抛洒物或占道施工设施。拥堵主要集中在桥下路段，影响通行效率，但车辆仍保持有序行驶，未发生追尾或碰撞。整体表现为典型的早高峰时段交通流量大导致的常态化拥堵现象，无其他明显异常行为。,2023年8月14日07时41分至07时42分，外环高速莘庄立交东南方向路段出现交通拥堵事件。该路段为双向多车道高架道路，两侧设有绿化带和护栏，路面标线清晰。视频显示，自07:41:53起，车辆在接近立交桥入口处开始缓慢行驶，车流密度逐渐增
,2023年8月17日08时47分至08时48分，外环高速仙霞路（内）路段出现拥堵交通事件。该路段为双向多车道高速公路，中央设有绿化隔离带，两侧车流密集，车辆以中低速行驶，整体通行缓慢。右侧车道车辆排成长队，间距较小，部分车辆在变道过程中存在急刹行为，导致后方车辆被迫减速避让。左侧车道虽有较大车距，但车流量仍较高，且有多辆大型货车、厢式货车及客车穿行其中，包括红色货车、黄色清障车等车辆，影响了正常通行效率。道路右侧靠近加油站区域可见警车停靠，可能与现场交通管理有关。整个事件持续约1分钟，未见明显事故或抛洒物，但因车流密集、速度不均，形成典型的早高峰拥堵特征，对通行效率造成显著影响。,2023年8月17日08时47分至08时48分，外环高速仙霞路（内）路段出现交通拥堵事件。该路段为双向多车道高速公路，车流密集，主要由轿车、货车及厢式运输车组成，其中右侧车道车辆行驶缓慢，部分车辆处于低速蠕动状态，排队长度持续延伸，未见明显
,2024年3月16日15时18分至15时19分，嘉闵高架西侧定焦03监控点位显示，该路段出现持续性交通拥堵现象。画面中可见多车道车辆行驶缓慢，车流密集，车辆间距明显缩小，部分车辆处于低速蠕动状态，未见明显事故或障碍物。涉事车辆包括各类轿车、SUV及货车，由于车流量大且车辆行驶速度普遍偏低，导致后方车辆排成长队，形成典型的拥堵态势。整体交通流呈现连续性滞缓特征，无突发异常行为或交通事故发生，但拥堵趋势持续存在，影响了道路通行效率。,2024年3月16日15:18至15:19，在嘉闵西侧定焦03路段，发生了一起多车事故。涉事车辆包括一辆白色轿车和一辆蓝色SUV，其中白色轿车的前部与前方车辆发生碰撞，其引擎盖和车门打开，车辆停在行车道上。事故现场有多名人员下车查看情况，部
,2024年6月13日13时15分至13时16分，S20外环高速K69+950南35米处，一辆蓝色货车停靠在道路最左侧车道上，车后有两名人员站立并进行交流。,2023年12月17日13时01分至13时02分，位于S4市区方向至S20内环的路段出现交通拥堵事件。该路段为多车道高架道路，两侧设有隔音屏障和绿化带，上方设有电子监控装置。视频显示，从13:01:59开始，车辆行驶速度明显减缓，车流密度逐
,2024年2月26日16时55分至16时57分，S4市区方向至S20内匝机1路段出现交通拥堵事件。该路段为双向多车道高速公路，右侧车道车辆行驶缓慢，车流密集，车辆间距明显缩小，多辆轿车、货车及一辆白色大巴车在车道内缓慢移动或处于停止状态，部分车辆尾灯亮起，显示刹车频繁。左侧对向车道车流相对顺畅，但右侧车道持续出现排队现象，车队长度超过百米，且无缓解趋势。拥堵区域位于道路中央的汇流区附近，地面标有白色V形导流线，提示此处为车道合并区域，可能是引发拥堵的瓶颈点。涉事车辆包括各类小客车、厢式货车、集装箱卡车及大型客车，均未见异常停车或事故迹象，也无施工设施或抛洒物存在。整体表现为典型的高峰时段交通拥堵，影响了该方向车辆的通行效率，导致后方车辆被迫减速并排长队等待通行。,2024年2月26日16时55分至16时56分，S4市区方向至S20内环高架路段出现严重交通拥堵事件。该路段为多车道高速公路，双向车流密集，其中南向车道车辆排成长队，行驶缓慢，部分车辆处于停滞状态，后方车辆被迫减速或变道绕行。涉事车辆包括多
,2023年9月26日16时27分至16时28分，外环高速吴中入口匝道（外）路段出现拥堵交通事件。该路段位于高速公路主路与匝道交汇处，双向车道中右侧多车道存在车辆行驶缓慢现象，其中主路右侧车道及匝道方向车流尤为密集。涉事车辆包括多辆轿车、货车、厢式货车及少量出租车和工程车辆，车辆在多个车道内缓慢移动或短暂停滞，未见明显事故或停车行为。车辆间距明显缩小，部分车辆频繁变道，导致通行效率降低。受此影响，主路右侧车道及匝道方向车流持续积压，形成较长的排队车队，且无缓解趋势。异常特征表现为车流密度显著增加，车辆行驶速度明显下降，整体呈现典型的拥堵状态，符合拥堵判断标准中的多辆车缓慢移动、排队长度超过正常范围以及发生在匝道等瓶颈区域的特征。,2023年9月26日16时27分至16时28分，外环高速吴中入口匝道（外）路段出现交通拥堵事件。该路段为多车道高速公路，车流密集，主要由轿车、货车及厢式运输车组成，车辆在多个车道内缓慢行驶或处于停滞状态，部分车辆在匝道汇入主路时出现排队现象
,2023年11月2日星期四上午9时22分，外环高速铁山路路段出现交通拥堵事件。现场多车道车辆行驶缓慢，车流密集，主要由轿车、货车及大型客车组成，包括一辆红色JAC集装箱货车、黄色混凝土搅拌车和白色大巴车等。车辆在多个车道内排成长队，车距极短，部分车辆几乎处于静止状态，持续时间超过10秒且无缓解趋势。道路右侧有施工警示标志和锥桶，一辆黄色工程车停靠在应急车道旁，疑似进行道路维护作业，导致车道减少并引发后方车辆变道绕行。整体交通流明显受阻，影响通行效率，符合占道施工引发的拥堵特征。,2023年11月2日星期四上午9时22分至9时23分，外环高速铁山路路段出现交通拥堵事件。该路段为多车道高架道路，车流密集，车辆以缓慢速度行驶，部分车辆处于停滞状态，形成持续性排队现象。涉事车辆包括多辆轿车、货车及一辆黄色工程车，其中黄色工
,2023年12月18日星期一上午10:00至10:01，北环高速同济路立交南段出现交通拥堵事件。该路段为多车道高速公路，路面湿滑，天气阴沉，能见度一般。视频显示，车辆在多个车道上缓慢行驶或完全停止，排队长度持续增加且无缓解趋势，主要集中在靠近立交桥的区域。涉事车辆包括轿车、货车、客车及摩托车等各类机动车，其中以大型货车和公交车为主，部分车辆因车流密集而被迫减速或停驶。右侧车道车辆明显积压，形成连续的拥堵带，导致后方车辆不得不变道绕行或紧急刹车。左侧非机动车道有摩托车正常通行，未受影响。整体交通流呈现低速蠕动状态，符合拥堵判断标准中的多辆车缓慢移动、排队长度超过正常范围、持续一段时间且无缓解趋势等特征。,2023年12月18日星期一上午10:08至10:09，外环高速同济路立交南段出现交通拥堵事件。该路段为多车道高速公路，车流密集，以轿车和货车为主，其中包含一辆红色摩托车。视频显示，车辆在多个车道上缓慢行驶，部分车辆间距极小，整体通行速度明
,2023年7月21日11时30分07秒左右，在外环高速莘庄立交北段，一辆二轮摩托车从画面右侧进入主车道，行驶于多车道高速公路的中间区域，未在专用非机动车道或辅路行驶，佩戴头盔，未见合法牌照标识。周围有多辆轿车和货车正常行，后方车辆需主动避让以避免碰撞，构成典型的二轮车辆闯入高速公路交通异常事件。,2023年7月21日11时30分04秒，在外环高速莘庄立交北段，一辆二轮摩托车从右侧车道驶入主路，行驶于多车道高速公路的中间车道，未在专用通道或允许区域通行。该摩托车驾驶员佩戴头盔，车辆有明显牌照，行驶过程中未见逆行或横穿车道等危险行为，但
,2023年9月5日11时39分至11时40分，S4市区方向至S20内环高架路段发生拥堵事件，现场多辆轿车、货车及厢式运输车在双向车道上缓慢行驶或停滞，车辆排成长队，通行速度显著下降。涉事车辆包括红色集装箱货车、蓝色平板拖车、白色厢式货车以及多辆私家车，其中部分大型货车因体积较大导致变道困难，加剧了交通压力。道路中央设有导流线区域，车辆在此处密集汇聚，未见明显事故或施工迹象，但后方车辆持续排队，形成较长的拥堵链。该路段右侧为隔音屏障，左侧为绿化带，对向车道交通相对顺畅，表明拥堵主要集中在本方向。整体表现为典型的高峰时段或瓶颈路段拥堵特征，无异常停车、占道施工或抛洒物等其他异常情况。,多车事故
,2023年08月15日星期二08:15:20至08:15:36期间，外环高速淞滨路西段出现严重交通拥堵事件。画面显示该路段双向车道中，左侧方向车流密集，车辆行驶缓慢，多辆轿车、货车及客车在多个车道内排成长队，车辆间距极小，整体移动速度明显低于正常通行水平，部分车辆几乎处于静止状态。涉事车辆包括红色大型货车、白色厢式货车、黑色及银色轿车等，均处于低速或停滞状态，未见异常停车或事故迹象。右侧车道车流相对顺畅。拥堵持续时间约15秒且无缓解趋势，符合拥堵判断标准中的多辆车缓慢移动、排队长度超常、发生在道路瓶颈区域等特征，表明该路段存在明显的交通拥塞现象。,多车事故
